date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:53	76895/76895	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:34:58%20GMT	https://immo.capital/	C:/My%20Web%20Sites/Immo/immo.capital/index.html	(from )
09:36:53	108/108	---MCZ	200	added ('OK')	text/plain	date:Fri,%2009%20Jun%202023%2007:35:21%20GMT	https://immo.capital/robots.txt		(from )
09:36:53	95776/95776	---M-Z	200	added ('OK')	application/javascript	etag:%2217620-5fda798cb31ae-gzip%22	https://cdn-cookieyes.com/client_data/a377251e7e4291e968cb3a99/script.js	C:/My%20Web%20Sites/Immo/cdn-cookieyes.com/client_data/a377251e7e4291e968cb3a99/script.js	(from https://immo.capital/)
09:36:54	122472/122472	---MC-	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202023%2006:00:00%20GMT	https://www.googleoptimize.com/optimize.js?id=OPT-PJRNL54	C:/My%20Web%20Sites/Immo/www.googleoptimize.com/optimize0797.js	(from https://immo.capital/)
09:36:54	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2009%20Jun%202023%2007:36:54%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Immo/www.googletagmanager.com/gtm.25445.delayed	(from https://immo.capital/)
09:36:54	2404/2404	---M--	200	added ('OK')	image/png	etag:%225f5a2533-964%22	https://immo.capital/wp-content/themes/immocapital-theme/assets/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/themes/immocapital-theme/assets/favicon/apple-touch-icon.png	(from https://immo.capital/)
09:36:55	705/705	---M--	200	added ('OK')	image/png	etag:%225f5a2541-2c1%22	https://immo.capital/wp-content/themes/immocapital-theme/assets/favicon/favicon-32x32.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/themes/immocapital-theme/assets/favicon/favicon-32x32.png	(from https://immo.capital/)
09:36:55	497/497	---M--	200	added ('OK')	image/png	etag:%225f5a252a-1f1%22	https://immo.capital/wp-content/themes/immocapital-theme/assets/favicon/favicon-16x16.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/themes/immocapital-theme/assets/favicon/favicon-16x16.png	(from https://immo.capital/)
09:36:55	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225f5a2554-3aee%22	https://immo.capital/wp-content/themes/immocapital-theme/assets/favicon/favicon.ico	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/themes/immocapital-theme/assets/favicon/favicon.ico	(from https://immo.capital/)
09:36:55	97517/97517	---MCZ	200	added ('OK')	text/css	etag:W/%22640a784d-17ced%22	https://immo.capital/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	C:/My%20Web%20Sites/Immo/immo.capital/wp-includes/css/dist/block-library/style.min3781.css	(from https://immo.capital/)
09:36:56	70/70	---M--	200	added ('OK')	text/css	etag:%2264405545-46%22	https://immo.capital/wp-content/plugins/activecampaign-subscription-forms/activecampaign-form-block/build/style-index.css?ver=1681937733	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/plugins/activecampaign-subscription-forms/activecampaign-form-block/build/style-index7964.css	(from https://immo.capital/)
09:36:56	291/291	---M--	200	added ('OK')	text/css	etag:%2263eaa28b-123%22	https://immo.capital/wp-includes/css/classic-themes.min.css?ver=6.2.2	C:/My%20Web%20Sites/Immo/immo.capital/wp-includes/css/classic-themes.min3781.css	(from https://immo.capital/)
09:36:56	828/828	---MCZ	200	added ('OK')	text/css	etag:W/%226480a9d3-33c%22	https://immo.capital/wp-content/mu-plugins/wpcomsh/vendor/automattic/text-media-widget-styles/css/widget-text.css?ver=20170607	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/mu-plugins/wpcomsh/vendor/automattic/text-media-widget-styles/css/widget-text5473.css	(from https://immo.capital/)
09:36:56	754/754	---MCZ	200	added ('OK')	text/css	etag:W/%2262d5d26e-2f2%22	https://immo.capital/wp-content/plugins/lever-jobs-wp-plugin-master/assets/css/plugin-admin-styles.css?ver=6.2.2	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/plugins/lever-jobs-wp-plugin-master/assets/css/plugin-admin-styles3781.css	(from https://immo.capital/)
